Entry	Protein names	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Gene Ontology (biological process)
A0A3Q0KT38	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KT39	Uncharacterized protein			
A0A3Q0KT40	EGF-like domain-containing protein		membrane [GO:0016020]	
A0A3Q0KT41	Uncharacterized protein			
A0A3Q0KT42	Uncharacterized protein	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		
A0A3Q0KT43	Cell cycle checkpoint control protein		checkpoint clamp complex [GO:0030896]	DNA damage checkpoint signaling [GO:0000077]
A0A3Q0KT44	Putative dro/myosuppressin receptor	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	
A0A3Q0KT45	Putative calcium-dependent activator protein for secretion			
A0A3Q0KT46	Protein aurora borealis			cell cycle [GO:0007049]; cell division [GO:0051301]
A0A3Q0KT48	Uncharacterized protein			
A0A3Q0KT50	Uncharacterized protein			
A0A3Q0KT51	Zinc finger protein	zinc ion binding [GO:0008270]		
A0A3Q0KT52	Putative developmentally regulated GTP-binding protein 1 (Drg 1)	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		
A0A3Q0KT53	Putative transcription factor			
A0A3Q0KT54	Uncharacterized protein			
A0A3Q0KT55	Putative homeobox protein meis	DNA binding [GO:0003677]	nucleus [GO:0005634]	regulation of DNA-templated transcription [GO:0006355]
A0A3Q0KT56	Putative r-specific enoyl-CoA hydratase			
A0A3Q0KT57	Putative cement protein 3B variant 3			intracellular signal transduction [GO:0035556]
A0A3Q0KT58	Mediator of RNA polymerase II transcription subunit 30			
A0A3Q0KT60	PEHE domain-containing protein			
A0A3Q0KT61	Uncharacterized protein			
A0A3Q0KT62	Vacuolar protein sorting-associated protein 35		cytosol [GO:0005829]; retromer, cargo-selective complex [GO:0030906]	protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]
A0A3Q0KT63	Uncharacterized protein			
A0A3Q0KT66	Family M13 unassigned peptidase (M13 family)	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	membrane [GO:0016020]	proteolysis [GO:0006508]
A0A3Q0KT68	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KT69	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KT71	Aa_trans domain-containing protein		membrane [GO:0016020]	
A0A3Q0KT72	Putative molybdopterin cofactor synthesis protein A	4 iron, 4 sulfur cluster binding [GO:0051539]; GTP binding [GO:0005525]; lyase activity [GO:0016829]; metal ion binding [GO:0046872]	molybdopterin synthase complex [GO:0019008]	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
A0A3Q0KT76	Tubulin tyrosine ligase-related			protein modification process [GO:0036211]
A0A3Q0KT82	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B	protein phosphatase regulator activity [GO:0019888]	protein phosphatase type 2A complex [GO:0000159]	
A0A3Q0KT83	Uncharacterized protein			
A0A3Q0KT85	Putative myo inositol monophosphatase	metal ion binding [GO:0046872]	membrane [GO:0016020]	phosphatidylinositol phosphate biosynthetic process [GO:0046854]
A0A3Q0KT86	Putative spindle assembly checkpoint component MAD1 (Mitotic arrest deficient protein 1)		nucleus [GO:0005634]	mitotic spindle assembly checkpoint signaling [GO:0007094]
A0A3Q0KT88	PEHE domain-containing protein			
A0A3Q0KT90	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KT91	Ragulator complex protein LAMTOR1			
A0A3Q0KT94	C2H2-type domain-containing protein			
A0A3Q0KT97	O-acyltransferase (Membrane bound) domain containing protein, putative		membrane [GO:0016020]	
A0A3Q0KT98	FSA_C domain-containing protein		membrane [GO:0016020]	
A0A3Q0KT99	UNC80 domain-containing protein			
A0A3Q0KTA0	Uncharacterized protein		lysosomal membrane [GO:0005765]	
A0A3Q0KTA1	Long-chain-fatty-acid--CoA ligase			
A0A3Q0KTA3	Vps8 domain-containing protein			protein targeting to vacuole [GO:0006623]
A0A3Q0KTA4	Tetraspanin		membrane [GO:0016020]	
A0A3Q0KTA6	C2H2-type domain-containing protein			
A0A3Q0KTA7	Ankyrin_rpt-contain_dom domain-containing protein			
A0A3Q0KTA9	Fbxl16, putative			
A0A3Q0KTB0	Putative exostosin-1	glycosyltransferase activity [GO:0016757]	endoplasmic reticulum membrane [GO:0005789]	protein glycosylation [GO:0006486]
A0A3Q0KTB2	Putative hepatocyte nuclear factor 4-alpha (Hnf-4-alpha)	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]	
A0A3Q0KTB5	Protein MEMO1			
A0A3Q0KTB6	Cu/zn superoxide dismutase,putative	copper ion binding [GO:0005507]		superoxide metabolic process [GO:0006801]
A0A3Q0KTB8	Putative sumo ligase	zinc ion binding [GO:0008270]	intracellular organelle [GO:0043229]	protein sumoylation [GO:0016925]
A0A3Q0KTC2	Uncharacterized protein			
A0A3Q0KTC4	Target of myb1 related (Tom1-related)	phosphatidylinositol binding [GO:0035091]; ubiquitin binding [GO:0043130]		protein transport [GO:0015031]
A0A3Q0KTC7	Surfeit locus protein, putative		endoplasmic reticulum membrane [GO:0005789]	
A0A3Q0KTC9	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KTD2	Uncharacterized protein		nucleus [GO:0005634]	
A0A3Q0KTD4	Uncharacterized protein			
A0A3Q0KTD6	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	2-(3-amino-3-carboxypropyl)histidine synthase activity [GO:0090560]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]		peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]
A0A3Q0KTD7	Insulinoma-associated protein (Ia-1)-related	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]	nucleus [GO:0005634]	cell differentiation [GO:0030154]
A0A3Q0KTD8	Uncharacterized protein		RNA polymerase I transcription regulator complex [GO:0000120]	transcription by RNA polymerase I [GO:0006360]
A0A3Q0KTD9	Signal peptidase complex subunit 3		signal peptidase complex [GO:0005787]	signal peptide processing [GO:0006465]
A0A3Q0KTE1	Amiloride-sensitive sodium channel,putative	sodium channel activity [GO:0005272]	membrane [GO:0016020]	
A0A3Q0KTE2	DNAj-related	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]		
A0A3Q0KTE4	Cation efflux protein/ zinc transporter,putative	monoatomic cation transmembrane transporter activity [GO:0008324]	membrane [GO:0016020]	
A0A3Q0KTE5	Intraflagellar transport protein 22 homolog			
A0A3Q0KTE6	Transposase domain-containing protein			
A0A3Q0KTE7	Putative collagen alpha chain		membrane [GO:0016020]	
A0A3Q0KTE9	SCP domain-containing protein			
A0A3Q0KTF1	Delta-like protein		membrane [GO:0016020]	cell communication [GO:0007154]
A0A3Q0KTF2	60S ribosomal protein L14	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]	translation [GO:0006412]
A0A3Q0KTF3	Aldehyde dehydrogenase	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]		cellular aldehyde metabolic process [GO:0006081]
A0A3Q0KTF6	Uncharacterized protein			
A0A3Q0KTF7	Zinc-finger domain containing protein			
A0A3Q0KTF8	Uncharacterized protein			
A0A3Q0KTG0	TBC1 domain family member 23		cytosol [GO:0005829]; Golgi apparatus [GO:0005794]	retrograde transport, endosome to Golgi [GO:0042147]
A0A3Q0KTG1	Ig-like domain-containing protein		membrane [GO:0016020]	
A0A3Q0KTG2	Elav (Embryonic lethal, abnormal vision,drosophila)-like protein	RNA binding [GO:0003723]	ribonucleoprotein complex [GO:1990904]	
A0A3Q0KTG4	MEG-11		membrane [GO:0016020]	
A0A3Q0KTG5	Putative pleckstrin homology domain containing family G	guanyl-nucleotide exchange factor activity [GO:0005085]		
A0A3Q0KTG6	Axon guidance protein		membrane [GO:0016020]	
A0A3Q0KTG9	Fbxl4, putative			
A0A3Q0KTH0	Uncharacterized protein			
A0A3Q0KTH1	Venom allergen-like (VAL) 26 protein; Venom allergen-like (VAL) 28 protein		extracellular region [GO:0005576]	
A0A3Q0KTH2	Homeobox protein aristaless-related	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	nucleus [GO:0005634]	
A0A3Q0KTH3	RING-type domain-containing protein	metal ion binding [GO:0046872]		
A0A3Q0KTH4	Putative gata binding factor	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]	regulation of transcription by RNA polymerase II [GO:0006357]
A0A3Q0KTH5	Tetraspanin		membrane [GO:0016020]	
A0A3Q0KTH7	Eukaryotic translation initiation factor 2A	translation initiation factor activity [GO:0003743]		
A0A3Q0KTH8	Putative syntaxin		membrane [GO:0016020]	vesicle-mediated transport [GO:0016192]
A0A3Q0KTI0	Putative zinc finger protein			
A0A3Q0KTI1	Tudor domain-containing protein	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	mRNA processing [GO:0006397]
A0A3Q0KTI2	Septate junction protein		membrane [GO:0016020]	
A0A3Q0KTI3	Uncharacterized protein			
A0A3Q0KTI4	G-protein coupled receptors family 2 profile 2 domain-containing protein		membrane [GO:0016020]	
A0A3Q0KTI5	39S ribosomal protein L40, mitochondrial		mitochondrial large ribosomal subunit [GO:0005762]	
A0A3Q0KTI6	Ras guanine nucleotide exchange factor,putative			
A0A3Q0KTI9	Putative cationic amino acid transporter	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A3Q0KTJ0	Putative sperm nuclear basic protein PL-I isoform PLIb			
A0A3Q0KTJ1	Putative cadherin	calcium ion binding [GO:0005509]	plasma membrane [GO:0005886]	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
A0A3Q0KTJ4	DIF_8		membrane [GO:0016020]	
A0A3Q0KTJ5	Myosin V, putative			
A0A3Q0KTJ6	Selenocysteine-specific elongation factor,putative	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		
A0A3Q0KTJ7	Serine/threonine kinase	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		protein phosphorylation [GO:0006468]
A0A3Q0KTJ8	Uncharacterized protein			
A0A3Q0KTK0	Rho-GAP domain-containing protein	GTPase activator activity [GO:0005096]; small GTPase binding [GO:0031267]		small GTPase mediated signal transduction [GO:0007264]
A0A3Q0KTK1	Lipoma hmgic fusion partner-like protein 4		membrane [GO:0016020]	
A0A3Q0KTK2	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	iron ion binding [GO:0005506]; iron-sulfur cluster binding [GO:0051536]		iron-sulfur cluster assembly [GO:0016226]
A0A3Q0KTK3	Geminin		nucleus [GO:0005634]	regulation of DNA replication [GO:0006275]
A0A3Q0KTK4	Regulator of microtubule dynamics protein		membrane [GO:0016020]	
A0A3Q0KTK6	Elav (Embryonic lethal, abnormal vision,drosophila)-like protein	RNA binding [GO:0003723]	ribonucleoprotein complex [GO:1990904]	
A0A3Q0KTK7	UV radiation resistance-associated gene protein			
A0A3Q0KTK8	CCAAT-binding transcription factor, putative	protein heterodimerization activity [GO:0046982]		
A0A3Q0KTL0	C2H2-type domain-containing protein			
A0A3Q0KTL1	Putative cationic amino acid transporter	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A3Q0KTL2	F-box domain-containing protein		SCF ubiquitin ligase complex [GO:0019005]	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]
A0A3Q0KTL3	Tesmin-related		nucleus [GO:0005634]	
A0A3Q0KTL5	PPM-type phosphatase domain-containing protein	protein serine/threonine phosphatase activity [GO:0004722]		protein dephosphorylation [GO:0006470]
A0A3Q0KTL6	Putative cadherin	calcium ion binding [GO:0005509]	plasma membrane [GO:0005886]	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
A0A3Q0KTL8	Uncharacterized protein			
A0A3Q0KTL9	Putative mk-ser/thr/tyr interacting protein (Mk-styx)	protein tyrosine/serine/threonine phosphatase activity [GO:0008138]		protein dephosphorylation [GO:0006470]
A0A3Q0KTM0	Coiled-coil domain-containing protein 40			axoneme assembly [GO:0035082]
A0A3Q0KTM1	Uncharacterized protein			
A0A3Q0KTM2	Serine/threonine kinase	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		protein phosphorylation [GO:0006468]
A0A3Q0KTM4	Uncharacterized protein			
A0A3Q0KTM5	Tetraspanin, putative		membrane [GO:0016020]	
A0A3Q0KTM8	Putative sugar transporter	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A3Q0KTM9	Putative transcriptional factor nfil3/e4bp4	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	nucleus [GO:0005634]	
A0A3Q0KTN0	Transmembrane protein		membrane [GO:0016020]	
A0A3Q0KTN2	PH domain-containing protein			
A0A3Q0KTN3	E3 UFM1-protein ligase 1 homolog	UFM1 ligase activity [GO:0061666]		protein ufmylation [GO:0071569]
A0A3Q0KTN4	Uncharacterized protein			
A0A3Q0KTN5	Metaxin, putative	glutathione transferase activity [GO:0004364]	SAM complex [GO:0001401]	protein transport [GO:0015031]
A0A3Q0KTN6	UVR domain-containing protein			
A0A3Q0KTN8	Uncharacterized protein			
A0A3Q0KTP0	Putative armc4			
A0A3Q0KTP2	Putative beta-arrestin 1			signal transduction [GO:0007165]
A0A3Q0KTP3	F-box domain-containing protein			
A0A3Q0KTP5	Non-specific serine/threonine protein kinase	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		protein phosphorylation [GO:0006468]
A0A3Q0KTP6	RNA polymerase II elongation factor ELL N-terminal domain-containing protein			
A0A3Q0KTP8	Dynein light chain		cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]	microtubule-based process [GO:0007017]
A0A3Q0KTQ1	Putative synoviolin	metal ion binding [GO:0046872]	membrane [GO:0016020]	
A0A3Q0KTQ3	Troponin t, invertebrate, putative		troponin complex [GO:0005861]	regulation of muscle contraction [GO:0006937]
A0A3Q0KTQ4	Eukaryotic translation initiation factor 2c,putative	nucleic acid binding [GO:0003676]		
A0A3Q0KTQ5	Putative non-canonical ubiquitin conjugating enzyme			
A0A3Q0KTQ6	Uncharacterized protein	4 iron, 4 sulfur cluster binding [GO:0051539]; catalytic activity [GO:0003824]; metal ion binding [GO:0046872]		
A0A3Q0KTR0	Uncharacterized protein			
A0A3Q0KTR1	Putative opsin-like receptor	G protein-coupled receptor activity [GO:0004930]; photoreceptor activity [GO:0009881]	membrane [GO:0016020]	phototransduction [GO:0007602]
A0A3Q0KTR3	DNA-directed RNA polymerase, putative			signal transduction [GO:0007165]
A0A3Q0KTR4	Solute carrier family 35 member d1, putative		membrane [GO:0016020]	
A0A3Q0KTR5	Uncharacterized protein			
A0A3Q0KTR6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1		membrane [GO:0016020]	
A0A3Q0KTR8	Meso-ectoderm gene expression control protein	protein dimerization activity [GO:0046983]		regulation of DNA-templated transcription [GO:0006355]
A0A3Q0KTS1	Putative exosome complex exonuclease rrp42 (Ribosomal rna processing protein 42)			
A0A3Q0KTS4	Nucleolar protein 10			
A0A3Q0KTS5	PHD and RING finger domain-containing protein 1			
A0A3Q0KTS8	Putative merlin/moesin/ezrin/radixin	actin binding [GO:0003779]	membrane [GO:0016020]	
A0A3Q0KTS9	Cytoplasmic dynein intermediate chain 2, (Dhic-2), putative		cytoplasmic dynein complex [GO:0005868]	microtubule-based movement [GO:0007018]
A0A3Q0KTT1	Putative cellular nucleic acid binding protein	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]		
A0A3Q0KTT2	Long-chain-fatty-acid--CoA ligase			
A0A3Q0KTT4	Putative spindle assembly checkpoint component MAD1 (Mitotic arrest deficient protein 1)			
A0A3Q0KTT6	Bromo domain-containing protein	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		
A0A3Q0KTT8	Armadillo repeat-containing protein 2			
A0A3Q0KTT9	Lyst-interacting protein, putative			
A0A3Q0KTU0	2,3-bisphosphoglycerate 3-phosphatase			
A0A3Q0KTU1	Uncharacterized protein			
A0A3Q0KTU2	Uncharacterized protein			
A0A3Q0KTU5	Uncharacterized protein			
A0A3Q0KTU8	MMS22L_C domain-containing protein			
A0A3Q0KTU9	Oxysterol-binding protein	lipid binding [GO:0008289]		lipid transport [GO:0006869]
A0A3Q0KTV0	Putative pumilio	RNA binding [GO:0003723]		
A0A3Q0KTV1	Putative arf gtpase-activating protein	GTPase activator activity [GO:0005096]		
A0A3Q0KTV2	Smp_200730		membrane [GO:0016020]	
A0A3Q0KTV3	Egg secreted protein ESP15-like			
A0A3Q0KTV4	Syntaxin, putative	SNAP receptor activity [GO:0005484]	membrane [GO:0016020]	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
A0A3Q0KTV5	Saposin B-type domain-containing protein			
A0A3Q0KTV8	DNA-directed RNA polymerase III subunit		nucleus [GO:0005634]	transcription by RNA polymerase III [GO:0006383]
A0A3Q0KTW0	Putative abc transporter	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	membrane [GO:0016020]	
A0A3Q0KTW2	Sex-determining protein fem-1, putative			
A0A3Q0KTW3	EF-hand domain-containing protein	calcium ion binding [GO:0005509]		
A0A3Q0KTW4	Putative gem-associated protein 5 (Gemin5)			
A0A3Q0KTW8	Synaptotagmin		membrane [GO:0016020]	
A0A3Q0KTW9	Sil1, putative			
A0A3Q0KTX1	BZIP domain-containing protein			response to unfolded protein [GO:0006986]
A0A3Q0KTX2	Cation/H+ exchanger domain-containing protein		membrane [GO:0016020]	monoatomic cation transport [GO:0006812]; transmembrane transport [GO:0055085]
A0A3Q0KTX3	Uncharacterized protein			
A0A3Q0KTX5	Ubiquitin-conjugating enzyme e2S, putative	ATP binding [GO:0005524]; transferase activity [GO:0016740]		
A0A3Q0KTX8	Rab6, putative	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		
A0A3Q0KTX9	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KTY3	Putative pumilio	RNA binding [GO:0003723]		
A0A3Q0KTY4	Leucine-rich repeat-containing protein			
A0A3Q0KTY8	Saposin B-type domain-containing protein			
A0A3Q0KTZ0	Putative mitochondrial carrier		membrane [GO:0016020]	
A0A3Q0KTZ1	PHD-type domain-containing protein			
A0A3Q0KTZ2	Uncharacterized protein			
A0A3Q0KTZ3	Uncharacterized protein			
A0A3Q0KTZ5	Phospholipid scramblase	phospholipid scramblase activity [GO:0017128]		
A0A3Q0KTZ8	Putative normocyte-binding protein 1			
A0A3Q0KTZ9	P-type phospholipid transporter	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]	membrane [GO:0016020]	
A0A3Q0KU01	SAC3/GANP/THP3 conserved domain-containing protein			
A0A3Q0KU03	Putative zinc finger protein	metal ion binding [GO:0046872]		
A0A3Q0KU05	Protein kinase	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		protein phosphorylation [GO:0006468]
A0A3Q0KU06	Uncharacterized protein		membrane [GO:0016020]	
A0A3Q0KU07	Putative glycosyltransferase 14 family member	glycosyltransferase activity [GO:0016757]	Golgi membrane [GO:0000139]	
